Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_1.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:49:49
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2415

Время [с]	Перемещение [мм]	Усилие [Н]
66.70	2.194	1.5800E+0
66.80	2.197	1.5800E+0
66.90	2.200	1.5900E+0
67.00	2.203	1.5800E+0
67.10	2.207	1.5800E+0
67.20	2.210	1.5900E+0
67.30	2.213	1.5800E+0
67.40	2.216	1.5800E+0
67.50	2.220	1.5800E+0
67.60	2.223	1.5900E+0
67.70	2.226	1.5900E+0
67.80	2.230	1.5800E+0
67.90	2.233	1.5800E+0
68.00	2.236	1.5700E+0
68.10	2.240	1.5800E+0
68.20	2.243	1.5800E+0
68.30	2.246	1.5800E+0
68.40	2.250	1.5900E+0
68.50	2.253	1.5800E+0
68.60	2.256	1.5800E+0
68.70	2.259	1.5900E+0
68.80	2.263	1.5800E+0
68.90	2.266	1.5800E+0
69.00	2.270	1.5900E+0
69.10	2.273	1.5900E+0
69.20	2.276	1.5800E+0
69.30	2.279	1.5800E+0
69.40	2.283	1.5800E+0
69.50	2.286	1.5800E+0
69.60	2.289	1.5800E+0
69.70	2.293	1.5800E+0
69.80	2.296	1.5800E+0
69.90	2.299	1.5800E+0
70.00	2.303	1.5800E+0
70.10	2.306	1.5800E+0
70.20	2.309	1.5800E+0
70.30	2.313	1.5800E+0
70.40	2.316	1.5800E+0
70.50	2.319	1.5800E+0
70.60	2.323	1.5800E+0
70.70	2.326	1.5800E+0
70.80	2.329	1.5900E+0
70.90	2.332	1.5800E+0
71.00	2.336	1.5800E+0
71.10	2.339	1.5800E+0
71.20	2.342	1.5900E+0
71.30	2.345	1.5800E+0
71.40	2.348	1.5800E+0
71.50	2.352	1.5900E+0
71.60	2.355	1.6000E+0
71.70	2.358	1.5800E+0
71.80	2.362	1.5800E+0
71.90	2.365	1.5800E+0
72.00	2.368	1.5800E+0
72.10	2.371	1.5800E+0
72.20	2.375	1.5900E+0
72.30	2.378	1.5900E+0
72.40	2.381	1.5900E+0
72.50	2.384	1.5800E+0
72.60	2.387	1.5900E+0
72.70	2.391	1.5900E+0
72.80	2.394	1.5900E+0
72.90	2.397	1.6000E+0
73.00	2.400	1.6000E+0
73.10	2.404	1.5900E+0
73.20	2.407	1.5900E+0
73.30	2.410	1.5900E+0
73.40	2.414	1.5900E+0
73.50	2.417	1.5900E+0
73.60	2.420	1.5900E+0
73.70	2.424	1.5900E+0
73.80	2.427	1.5900E+0
73.90	2.430	1.5900E+0
74.00	2.434	1.6000E+0
74.10	2.437	1.5900E+0
74.20	2.440	1.5800E+0
74.30	2.443	1.5900E+0
74.40	2.447	1.5900E+0
74.50	2.450	1.6000E+0
74.60	2.453	1.5900E+0
74.70	2.457	1.5900E+0
74.80	2.460	1.5800E+0
74.90	2.463	1.5900E+0
75.00	2.467	1.6000E+0
75.10	2.470	1.5900E+0
75.20	2.473	1.6000E+0
75.30	2.476	1.5900E+0
75.40	2.480	1.6000E+0
75.50	2.483	1.6100E+0
75.60	2.486	1.5900E+0
75.70	2.490	1.5900E+0
75.80	2.493	1.5900E+0
75.90	2.496	1.6000E+0
76.00	2.500	1.6000E+0
76.10	2.503	1.6000E+0
76.20	2.506	1.5900E+0
76.30	2.510	1.6000E+0
76.40	2.513	1.6000E+0
76.50	2.516	1.6100E+0
76.60	2.520	1.6000E+0
76.70	2.523	1.6000E+0
76.80	2.526	1.6000E+0
76.90	2.529	1.6000E+0
77.00	2.532	1.6100E+0
77.10	2.536	1.6100E+0
77.20	2.539	1.6000E+0
77.30	2.542	1.6100E+0
77.40	2.545	1.6100E+0
77.50	2.549	1.6100E+0
77.60	2.552	1.6100E+0
77.70	2.555	1.6100E+0
77.80	2.558	1.6200E+0
77.90	2.562	1.6100E+0
78.00	2.565	1.6100E+0
78.10	2.568	1.6100E+0
78.20	2.571	1.6000E+0
78.30	2.574	1.6000E+0
78.40	2.578	1.6000E+0
78.50	2.581	1.6100E+0
78.60	2.584	1.6000E+0
78.70	2.587	1.6000E+0
78.80	2.591	1.6200E+0
78.90	2.594	1.6100E+0
79.00	2.597	1.6100E+0
79.10	2.600	1.6100E+0
79.20	2.604	1.6100E+0
79.30	2.607	1.6100E+0
79.40	2.610	1.6200E+0
79.50	2.613	1.6100E+0
